company,date,naf,num_emp
Avogadro LS,22-06-2016,Recherche-développement en biotechnologie (7211Z),10 à 19 salariés
AQUATONALE,08-03-1990,Fabrication de parfums et de produits pour la toilette (2042Z),20 à 49 salariés
LAAS CNRS,,"Traitement de données, hébergement et activités connexes (6311Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
NBtech,14-04-2014,"Ingénierie, études techniques (7112B)",50 à 99 salariés
AB7,22-04-2016,Autres activités récréatives et de loisirs (9329Z),
GROUPE HBF,28-01-2019,Activités des sociétés holding (6420Z),
ONERA,,Autres organisations fonctionnant par adhésion volontaire (9499Z),3 à 5 salariés
SERMAT,02-03-1983,"Commerce de gros de machines pour l'extraction, la construction et le génie civil (516C)",
LDL TECHNOLOGY,30-06-2004,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (4652Z),20 à 49 salariés
G.T.P TECHNOLOGY,13-10-2000,Recherche-développement en biotechnologie (7211Z),20 à 49 salariés
CARSO CAE,10-12-2001,Laboratoires d'analyses médicales (8690B),10 à 19 salariés
AQUALIA,15-10-1991,Autres travaux de finition (4339Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Eurofins France Pharma,12-06-2006,"Analyses, essais et inspections techniques (7120B)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CDG CONSEIL,31-12-2004,Conseil pour les affaires et autres conseils de gestion (7022Z),
SOTEREM,16-12-1991,Fabrication d'instrumentation scientifique et technique (2651B),20 à 49 salariés
MCG Engineering,05-04-2007,Conseil pour les affaires et autres conseils de gestion (7022Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
Inserm,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SGS,06-04-2016,"Désinfection, désinsectisation, dératisation (8129A)",
MAPEI FRANCE,22-04-1985,Fabrication de colles (2052Z),250 à 499 salariés
JENNIFER LEGRAND,18-05-2015,Soins de beauté (9602B),
Bayer,31-12-2003,Débits de boisson (554B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
EVOTEC,24-01-2011,Activités comptables (6920Z),
INRAE TRANSFERT,03-01-2001,Gestion de fonds (6630Z),50 à 99 salariés
TWB,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
GBH,12-08-2015,Conseil en relations publiques et communication (7021Z),
