company_name,distance,jobs,location,num_employees,rating,rome_code
CULINAIRE DES PAYS DE L'ADOUR,73.1,Responsable restaurant,BAS,20,3.9,G1802
COMMUNAUTE COM DE HAUTE BIGORRE,36.8,TECHNICIEN SERVICES GENERAUX,BAGNERES,100,3.4,I1203
MESSIER DOWTY SA,70.1,Opérateur process poudrage,BIDOS,500,2.5,H3404
EVOTEC,99.7,Adjointe RH,TOULOUSE,250,3,M1501
HERTZ FRANCE AT,98.5,Adjointe RH,BLAGNAC /A,20,3.6,M1501
POIVRE ROUGE,25,Professionnel de restauration,JUILLAN,10,4.3,G1803
TEMPORIS,93.7,Adjointe RH,BOE,0,2.8,M1501
DERICHEBOURG PROPRETE,98.8,Adjointe RH,TOULOUSE,500,3,M1501
,,,,,,
RAS 590,95.2,Adjointe RH,BOE,0,2.8,M1501
DERICHEBOURG SOURCING AERO & ENERGY,98,Adjointe RH,BLAGNAC,0,3.3,M1501
SUD MANAGEMENT ENTREPRISES,92.7,Adjointe RH,ESTILLAC,20,3.4,M1501
LE&C GS,97.2,Animateur sécurité,TOULOUSE,1000,4,K1205
,,,,,,
MAIRIE TARBES/CAISSE DES ECOLES,19.7,Animateur sécurité,CDE,50,3.1,K1205
MAIRIE,100,Animateur sécurité,BLAGNAC,0,2.8,K1205
,,,,,,
CA PAU BEARN PYRENEES,47.8,Animateur sécurité,PAU,0,2.8,K1205
CHRONOLAQ,85.1,Opérateur process poudrage,NOE,20,3,H3404
DOLCE VITA,20.9,Professionnel de restauration,TARBES,3,4.3,G1803
CRESCENDO,55,Professionnel de restauration,ESTANCARBON,20,4.3,G1803
OLANO CONDIPACK,62.1,Opérateur cariste,ARTIX,0,3.1,N1101
CTE COMMUNES GASCOGNE TOULOUSAINE,71.4,Professionnel de restauration,ISLE,10,4.6,G1803
MAIRIE,47.9,Animateur sécurité,PAU,1000,2.5,K1205
COMMUNAUTE DE COMMUNES DES HAUTS TOLOSAN,97.2,Animateur sécurité,GRENADE,0,2.5,K1205
MAIRIE,94.2,Animateur sécurité,COLOMIERS,1000,2.5,K1205
CONSEIL DEPARTEMENTAL,94.4,Animateur sécurité,AGEN,1000,2.5,K1205
LA GRANGE,91.7,Professionnel de restauration,MURET,0,4.3,G1803
HOTEL DE VILLE,63.7,Animateur sécurité,CAZAUBON,0,2.8,K1205
SPL PAU BEARN PYRENEES RESTAURATION,50.3,Responsable restaurant,JURANCON,0,3.3,G1802
SERVICE D'AIDE A DOMICILE,47.4,TECHNICIEN SERVICES GENERAUX,PAU,100,3.8,I1203
VILLAGES ACCUEILLANTS,19.9,Animateur sécurité,TARBES,50,2.5,K1205
ASSOCIATION RECUP'ACTIONS 65,19.9,Animateur sécurité,TARBES,50,2.5,K1205
RESEAU EXPER GERSOIS D AIDE REINSERTION,41.7,Animateur sécurité,AUCH,0,2.5,K1205
ALLO COURSES GASCOGNES,98.6,Opérateur cariste,TOULOUSE,6,3.1,N1101
SERVICE D'AIDE A DOMICILE,47.4,Animateur sécurité,PAU,100,2.5,K1205
ALEFPA ATELIERS,51.7,Technicien Preparateur Process,LONS,20,2.5,H1404
CENTRE GESTION FONCTION PUB TERRITORIALE,79,Animateur sécurité,MONT,250,2.5,K1205
CR INSERTION,51.4,Animateur sécurité,LESCAR,0,2.7,K1205
UNION CEPIERE ROBERT MONNIER,98.4,Animateur sécurité,TOULOUSE,250,3,K1205
BIGORRE TOUS SERVICES,22.3,Animateur sécurité,TARBES,50,2.5,K1205
CC DU NORD EST BEARN,37.3,Animateur sécurité,MORLAAS,0,2.5,K1205
ALTRAN TECHNOLOGIES,98.3,Animateur qualité,BLAGNAC,1000,4.6,H1502
UPSA SAS,94.6,Animateur qualité,AGEN,250,4.4,H1502
UNITHER LIQUID MANUFACTURING,93,Animateur qualité,COLOMIERS,0,4,H1502
DERICHEBOURG ATIS AERONAUTIQUE,98,Animateur qualité,BLAGNAC,0,4.6,H1502
LE BISTRO REGENT,98.2,Professionnel de restauration,BLAGNAC,10,4.6,G1803
PARERA,75.4,Animateur qualité,ISLE,100,2.8,H1502
ASSYSTEM FRANCE,96.4,Animateur qualité,TOULOUSE,1000,4,H1502
YMCA SERVICES,98.3,Animateur qualité,BEAUZELLE,50,2.8,H1502
CAPGEMINI DEMS FRANCE,97.7,Animateur qualité,TOULOUSE,500,2.8,H1502
TRIGO QUALITAIRE,98.3,Animateur qualité,BLAGNAC,100,2.5,H1502
TECHNI MOULAGES DIVISION DE TEC,97.4,Technicien Preparateur Process,MERVILLE,20,2.5,H1404
ONET TECHNOLOGIES TI GOLFECH,95.3,Animateur qualité,GOLFECH,50,3.1,H1502
NATAIS,56.9,Animateur qualité,POP CORN MIDI PYRENEES,100,2.8,H1502
AUBERGE CAMY,98.6,Professionnel de restauration,CARRESSE,0,4.4,G1803
,,,,,,
CVA ENGINEERING,42.3,Animateur qualité,PAU,20,2.5,H1502
